iter	Passed	Remaining
0	50	50853
1	225	112335
2	317	105443
3	366	91177
4	406	80937
5	459	76132
6	499	70924
7	543	67391
8	586	64527
9	641	63491
10	702	63119
11	757	62352
12	802	60934
13	841	59245
14	884	58069
15	938	57696
16	983	56870
17	1020	55660
18	1057	54589
19	1098	53827
20	1137	53042
21	1190	52916
22	1228	52186
23	1268	51595
24	1306	50968
25	1353	50696
26	1392	50182
27	1445	50171
28	1487	49792
29	1531	49524
30	1575	49238
31	1637	49547
32	1681	49286
33	1754	49836
34	1912	52731
35	2032	54430
36	2087	54334
37	2157	54630
38	2284	56282
39	2440	58560
40	2537	59350
41	2607	59470
42	2711	60350
43	2759	59964
44	2825	59957
45	2884	59823
46	2946	59754
47	2996	59425
48	3055	59299
49	3138	59628
50	3198	59520
51	3239	59061
52	3275	58533
53	3316	58104
54	3350	57572
55	3392	57185
56	3475	57500
57	3516	57104
58	3555	56703
59	3596	56352
60	3644	56096
61	3686	55766
62	3738	55601
63	3782	55323
64	3847	55340
65	3924	55531
66	3963	55197
67	4036	55323
68	4105	55390
69	4216	56024
70	4288	56111
71	4371	56345
72	4441	56406
73	4499	56310
74	4560	56244
75	4609	56039
76	4649	55734
77	4698	55544
78	4736	55217
79	4773	54889
80	4814	54628
81	4863	54447
82	4909	54244
83	4944	53922
84	4980	53616
85	5016	53317
86	5052	53017
87	5085	52701
88	5124	52454
89	5165	52229
90	5205	51999
91	5231	51636
92	5256	51266
93	5294	51028
94	5320	50689
95	5344	50328
96	5369	49990
97	5400	49705
98	5423	49363
99	5469	49227
100	5553	49431
101	5637	49627
102	5671	49393
103	5715	49238
104	5756	49064
105	5789	48825
106	5825	48617
107	5853	48342
108	5879	48062
109	5905	47783
110	5931	47505
111	5981	47425
112	6028	47318
113	6054	47051
114	6069	46706
115	6106	46539
116	6142	46357
117	6177	46171
118	6237	46178
119	6284	46089
120	6328	45973
121	6363	45792
122	6403	45653
123	6436	45472
124	6481	45373
125	6523	45246
126	6561	45102
127	6586	44871
128	6623	44719
129	6661	44580
130	6690	44382
131	6733	44280
132	6768	44123
133	6806	43989
134	6846	43867
135	6882	43723
136	6909	43526
137	6951	43421
138	6991	43309
139	7059	43362
140	7097	43239
141	7171	43334
142	7210	43210
143	7245	43068
144	7292	43000
145	7328	42864
146	7350	42655
147	7368	42418
148	7412	42334
149	7446	42199
150	7469	41996
151	7509	41893
152	7536	41719
153	7562	41544
154	7618	41532
155	7656	41422
156	7716	41434
157	7769	41402
158	7843	41487
159	7891	41429
160	7927	41309
161	7954	41147
162	7995	41056
163	8031	40940
164	8065	40817
165	8090	40647
166	8123	40518
167	8159	40407
168	8184	40245
169	8220	40134
170	8245	39971
171	8280	39863
172	8309	39721
173	8344	39612
174	8370	39460
175	8406	39356
176	8441	39251
177	8475	39137
178	8508	39027
179	8580	39087
180	8632	39058
181	8683	39029
182	8732	38987
183	8787	38972
184	8827	38889
185	8868	38812
186	8904	38710
187	8931	38576
188	8973	38506
189	9004	38388
190	9030	38248
191	9064	38145
192	9097	38038
193	9135	37954
194	9169	37853
195	9215	37801
196	9249	37703
197	9275	37569
198	9311	37479
199	9355	37422
200	9393	37340
201	9434	37269
202	9478	37214
203	9541	37229
204	9600	37230
205	9684	37326
206	9739	37312
207	9780	37239
208	9809	37125
209	9849	37052
210	9870	36908
211	9909	36833
212	9951	36767
213	9984	36673
214	10019	36581
215	10041	36445
216	10072	36345
217	10110	36268
218	10152	36206
219	10190	36130
220	10214	36004
221	10250	35923
222	10285	35839
223	10313	35729
224	10363	35694
225	10403	35630
226	10453	35597
227	10498	35546
228	10536	35474
229	10584	35434
230	10631	35390
231	10656	35276
232	10691	35193
233	10726	35111
234	10767	35051
235	10802	34970
236	10838	34894
237	10874	34817
238	10896	34695
239	10922	34586
240	10954	34498
241	10992	34429
242	11031	34364
243	11066	34287
244	11106	34226
245	11132	34121
246	11164	34036
247	11190	33932
248	11235	33887
249	11269	33808
250	11295	33707
251	11321	33604
252	11353	33521
253	11382	33429
254	11420	33366
255	11462	33312
256	11512	33282
257	11547	33208
258	11584	33142
259	11618	33068
260	11650	32988
261	11684	32912
262	11720	32844
263	11756	32776
264	11789	32698
265	11824	32629
266	11859	32558
267	11885	32463
268	11954	32485
269	11985	32406
270	12031	32365
271	12064	32289
272	12105	32236
273	12131	32143
274	12167	32078
275	12204	32014
276	12230	31923
277	12266	31856
278	12301	31789
279	12344	31743
280	12378	31673
281	12414	31608
282	12450	31543
283	12483	31473
284	12523	31417
285	12549	31330
286	12593	31285
287	12626	31215
288	12668	31166
289	12704	31103
290	12738	31036
291	12781	30990
292	12820	30934
293	12855	30871
294	12887	30798
295	12915	30717
296	12935	30618
297	12969	30552
298	13013	30509
299	13049	30449
300	13083	30382
301	13120	30324
302	13146	30242
303	13182	30180
304	13220	30124
305	13264	30082
306	13309	30044
307	13342	29977
308	13376	29912
309	13410	29849
310	13450	29799
311	13475	29714
312	13513	29660
313	13550	29604
314	13584	29541
315	13622	29486
316	13658	29429
317	13704	29390
318	13727	29306
319	13760	29241
320	13794	29178
321	13830	29121
322	13866	29064
323	13909	29021
324	13955	28983
325	13989	28923
326	14028	28872
327	14063	28813
328	14101	28759
329	14137	28703
330	14171	28642
331	14207	28586
332	14235	28513
333	14259	28434
334	14286	28359
335	14472	28599
336	14507	28542
337	14548	28495
338	14590	28448
339	14621	28382
340	14659	28329
341	14715	28311
342	14760	28272
343	14804	28232
344	14842	28178
345	14884	28133
346	14920	28077
347	14963	28035
348	15000	27979
349	15037	27926
350	15074	27873
351	15110	27816
352	15154	27775
353	15189	27718
354	15212	27638
355	15243	27575
356	15276	27514
357	15304	27445
358	15341	27393
359	15381	27344
360	15411	27279
361	15447	27225
362	15489	27181
363	15521	27119
364	15553	27058
365	15588	27002
366	15633	26965
367	15664	26901
368	15701	26850
369	15729	26782
370	15764	26727
371	15798	26670
372	15844	26633
373	15868	26559
374	15908	26514
375	15947	26465
376	15984	26414
377	16030	26377
378	16079	26346
379	16117	26296
380	16154	26245
381	16193	26197
382	16229	26144
383	16275	26108
384	16311	26056
385	16332	25979
386	16356	25908
387	16388	25850
388	16421	25792
389	16460	25746
390	16505	25707
391	16547	25665
392	16572	25597
393	16611	25550
394	16657	25513
395	16693	25462
396	16738	25423
397	16776	25375
398	16796	25300
399	16814	25221
400	16845	25163
401	16883	25115
402	16906	25045
403	16943	24996
404	16987	24956
405	17024	24908
406	17060	24856
407	17088	24794
408	17120	24739
409	17158	24692
410	17205	24657
411	17239	24604
412	17276	24554
413	17325	24523
414	17356	24466
415	17396	24421
416	17423	24359
417	17458	24307
418	17492	24256
419	17530	24208
420	17565	24157
421	17598	24103
422	17642	24065
423	17678	24015
424	17700	23947
425	17738	23901
426	17774	23852
427	17812	23805
428	17857	23767
429	17906	23736
430	17944	23689
431	17979	23640
432	18016	23591
433	18064	23558
434	18099	23508
435	18135	23459
436	18174	23415
437	18212	23368
438	18259	23333
439	18305	23298
440	18346	23255
441	18381	23205
442	18408	23145
443	18444	23097
444	18473	23039
445	18516	23000
446	18540	22937
447	18574	22886
448	18606	22833
449	18642	22785
450	18680	22739
451	18723	22700
452	18760	22653
453	18803	22613
454	18849	22578
455	18921	22572
456	18966	22535
457	19015	22502
458	19047	22449
459	19084	22403
460	19111	22345
461	19156	22307
462	19194	22262
463	19231	22215
464	19280	22182
465	19312	22130
466	19350	22085
467	19395	22048
468	19429	21998
469	19468	21953
470	19505	21907
471	19542	21860
472	19579	21814
473	19626	21779
474	19663	21733
475	19696	21682
476	19746	21650
477	19781	21601
478	19818	21556
479	19858	21512
480	19892	21463
481	19911	21398
482	19938	21342
483	19976	21297
484	20009	21247
485	20048	21204
486	20092	21165
487	20118	21108
488	20155	21061
489	20189	21013
490	20216	20957
491	20249	20908
492	20278	20854
493	20318	20812
494	20354	20765
495	20390	20719
496	20424	20671
497	20470	20635
498	20496	20579
499	20522	20522
500	20593	20511
501	20613	20449
502	20639	20393
503	20675	20347
504	20711	20301
505	20754	20262
506	20791	20216
507	20817	20161
508	20839	20102
509	20863	20045
510	20898	19998
511	20933	19952
512	20971	19908
513	21016	19871
514	21054	19828
515	21088	19780
516	21123	19734
517	21169	19698
518	21211	19658
519	21227	19594
520	21264	19550
521	21299	19503
522	21334	19457
523	21366	19409
524	21403	19365
525	21444	19324
526	21484	19283
527	21522	19239
528	21560	19196
529	21597	19152
530	21633	19107
531	21684	19075
532	21722	19032
533	21762	18990
534	21800	18948
535	21835	18902
536	21864	18851
537	21899	18805
538	21932	18758
539	21972	18717
540	22010	18674
541	22047	18630
542	22085	18587
543	22116	18538
544	22147	18490
545	22185	18447
546	22213	18396
547	22245	18348
548	22284	18306
549	22319	18261
550	22364	18224
551	22400	18180
552	22437	18136
553	22464	18085
554	22488	18031
555	22525	17988
556	22574	17953
557	22609	17909
558	22647	17866
559	22672	17814
560	22708	17770
561	22754	17734
562	22805	17701
563	22842	17658
564	22881	17616
565	22915	17571
566	22942	17520
567	22991	17486
568	23037	17449
569	23106	17431
570	23208	17436
571	23281	17420
572	23363	17410
573	23412	17375
574	23464	17343
575	23530	17321
576	23603	17303
577	23654	17270
578	23703	17234
579	23741	17192
580	23796	17161
581	23859	17135
582	23912	17104
583	23951	17061
584	24007	17031
585	24062	16999
586	24138	16983
587	24191	16950
588	24248	16920
589	24303	16888
590	24370	16865
591	24419	16829
592	24470	16795
593	24531	16767
594	24581	16731
595	24637	16700
596	24689	16666
597	24742	16633
598	24803	16604
599	24871	16580
600	24932	16552
601	25004	16531
602	25042	16487
603	25081	16443
604	25108	16392
605	25142	16346
606	25183	16304
607	25213	16256
608	25254	16214
609	25294	16171
610	25406	16175
611	25481	16154
612	25532	16119
613	25582	16082
614	25640	16051
615	25698	16019
616	25740	15978
617	25776	15933
618	25814	15888
619	25856	15847
620	25892	15802
621	25936	15762
622	25972	15717
623	26011	15673
624	26058	15634
625	26096	15590
626	26135	15547
627	26184	15510
628	26247	15481
629	26315	15455
630	26378	15425
631	26451	15402
632	26510	15370
633	26562	15334
634	26606	15293
635	26643	15248
636	26780	15261
637	26940	15286
638	26980	15242
639	27276	15342
640	27512	15408
641	27711	15453
642	27975	15532
643	28250	15616
644	28364	15611
645	28484	15609
646	28679	15647
647	28788	15637
648	28921	15641
649	29087	15662
650	29195	15651
651	29335	15657
652	29436	15642
653	29752	15740
654	29841	15717
655	29926	15693
656	30167	15749
657	30344	15771
658	30467	15765
659	30528	15727
660	30579	15682
661	30640	15644
662	30696	15602
663	30748	15559
664	30784	15508
665	30819	15456
666	30858	15406
667	30896	15355
668	30941	15308
669	30970	15254
670	31009	15204
671	31048	15154
672	31088	15105
673	31125	15054
674	31171	15008
675	31207	14957
676	31242	14906
677	31273	14852
678	31310	14802
679	31351	14753
680	31397	14707
681	31419	14650
682	31456	14599
683	31490	14548
684	31529	14499
685	31564	14447
686	31602	14398
687	31649	14352
688	31696	14307
689	31732	14256
690	31771	14207
691	31809	14157
692	31858	14113
693	31892	14062
694	31923	14009
695	31963	13960
696	31991	13907
697	32034	13860
698	32069	13809
699	32107	13760
700	32144	13710
701	32191	13665
702	32230	13616
703	32281	13572
704	32322	13525
705	32364	13477
706	32408	13430
707	32452	13384
708	32522	13348
709	32559	13299
710	32602	13251
711	32643	13204
712	32677	13153
713	32701	13098
714	32742	13051
715	32783	13003
716	32820	12954
717	32846	12900
718	32887	12853
719	32921	12802
720	32956	12752
721	32990	12702
722	33028	12654
723	33065	12605
724	33102	12556
725	33138	12506
726	33185	12461
727	33223	12413
728	33251	12361
729	33284	12310
730	33323	12262
731	33358	12213
732	33392	12163
733	33438	12118
734	33486	12073
735	33524	12024
736	33561	11976
737	33600	11928
738	33646	11883
739	33680	11833
740	33718	11785
741	33755	11737
742	33793	11688
743	33831	11641
744	33872	11594
745	33921	11549
746	33970	11505
747	34007	11457
748	34051	11411
749	34089	11363
750	34126	11314
751	34172	11269
752	34216	11223
753	34250	11174
754	34304	11131
755	34341	11083
756	34374	11034
757	34409	10985
758	34445	10937
759	34484	10889
760	34509	10838
761	34551	10791
762	34590	10744
763	34618	10693
764	34657	10646
765	34693	10598
766	34738	10552
767	34774	10504
768	34822	10460
769	34860	10412
770	34897	10365
771	34934	10317
772	34980	10272
773	35013	10223
774	35054	10177
775	35088	10128
776	35122	10080
777	35162	10033
778	35206	9987
779	35254	9943
780	35291	9896
781	35329	9848
782	35369	9802
783	35409	9755
784	35438	9705
785	35479	9659
786	35516	9612
787	35539	9561
788	35579	9515
789	35607	9465
790	35651	9419
791	35689	9373
792	35716	9323
793	35752	9275
794	35788	9228
795	35823	9180
796	35853	9131
797	35890	9085
798	35926	9037
799	35960	8990
800	35999	8943
801	36036	8896
802	36082	8852
803	36121	8805
804	36158	8758
805	36194	8711
806	36231	8665
807	36268	8618
808	36324	8575
809	36362	8529
810	36400	8482
811	36437	8436
812	36476	8390
813	36513	8343
814	36554	8297
815	36594	8251
816	36629	8204
817	36678	8160
818	36723	8115
819	36766	8070
820	36822	8028
821	36854	7980
822	36893	7934
823	36928	7887
824	36966	7841
825	37012	7796
826	37036	7747
827	37060	7698
828	37096	7651
829	37133	7605
830	37170	7559
831	37216	7514
832	37246	7467
833	37276	7419
834	37313	7373
835	37352	7327
836	37387	7280
837	37420	7234
838	37466	7189
839	37503	7143
840	37526	7094
841	37562	7048
842	37601	7002
843	37625	6954
844	37659	6907
845	37694	6861
846	37725	6814
847	37761	6768
848	37796	6722
849	37830	6675
850	37884	6633
851	37915	6586
852	37956	6541
853	37984	6493
854	38011	6446
855	38051	6401
856	38091	6356
857	38126	6310
858	38161	6264
859	38201	6218
860	38240	6173
861	38309	6133
862	38355	6088
863	38393	6043
864	38422	5996
865	38462	5951
866	38485	5903
867	38521	5858
868	38556	5812
869	38594	5767
870	38620	5719
871	38647	5673
872	38676	5626
873	38713	5581
874	38758	5536
875	38787	5490
876	38818	5444
877	38855	5399
878	38893	5353
879	38917	5306
880	38954	5261
881	39003	5218
882	39052	5174
883	39092	5129
884	39115	5082
885	39155	5038
886	39194	4993
887	39240	4949
888	39283	4904
889	39318	4859
890	39349	4813
891	39379	4767
892	39415	4722
893	39452	4677
894	39496	4633
895	39544	4589
896	39583	4545
897	39619	4500
898	39658	4455
899	39704	4411
900	39742	4366
901	39772	4321
902	39806	4276
903	39840	4230
904	39869	4185
905	39910	4140
906	39948	4096
907	39984	4051
908	40035	4007
909	40066	3962
910	40102	3917
911	40142	3873
912	40189	3829
913	40215	3783
914	40250	3739
915	40290	3694
916	40332	3650
917	40373	3606
918	40410	3561
919	40448	3517
920	40481	3472
921	40517	3427
922	40564	3384
923	40604	3339
924	40642	3295
925	40682	3251
926	40719	3206
927	40751	3161
928	40799	3118
929	40837	3073
930	40883	3030
931	40939	2986
932	40974	2942
933	41027	2899
934	41079	2855
935	41112	2811
936	41149	2766
937	41187	2722
938	41225	2678
939	41270	2634
940	41319	2590
941	41354	2546
942	41391	2501
943	41426	2457
944	41464	2413
945	41509	2369
946	41547	2325
947	41585	2281
948	41623	2236
949	41665	2192
950	41691	2148
951	41738	2104
952	41784	2060
953	41821	2016
954	41859	1972
955	41895	1928
956	41918	1883
957	41964	1839
958	42001	1795
959	42040	1751
960	42075	1707
961	42114	1663
962	42150	1619
963	42311	1580
964	42385	1537
965	42420	1493
966	42460	1449
967	42497	1404
968	42527	1360
969	42570	1316
970	42604	1272
971	42633	1228
972	42666	1183
973	42705	1139
974	42745	1096
975	42789	1052
976	42813	1007
977	42838	963
978	42875	919
979	42910	875
980	42938	831
981	42982	787
982	43031	744
983	43066	700
984	43106	656
985	43143	612
986	43172	568
987	43199	524
988	43228	480
989	43265	437
990	43304	393
991	43332	349
992	43359	305
993	43393	261
994	43439	218
995	43476	174
996	43513	130
997	43549	87
998	43574	43
999	43611	0
